,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
29920,Germany,2020-02-04,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1098.08320699869,0.0,1.6506646287526598
29921,Germany,2020-02-05,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1246.0569135219,0.0,2.94662923772802
29922,Germany,2020-02-06,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1396.19462002607,0.9999999999999909,4.466703947335009
29923,Germany,2020-02-07,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1546.7589253596802,0.9999999999999929,6.293374705772459
29924,Germany,2020-02-08,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8081636222292,1697.98191804991,0.0,8.66410616887754
29925,Germany,2020-02-09,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35784198719009,1851.9502535777601,0.0,10.7310476452183
29926,Germany,2020-02-10,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85748178938762,2012.71676722963,0.0,13.2674780242085
29927,Germany,2020-02-11,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.30152866501512,2186.2751453135998,0.0,16.365240284631
29928,Germany,2020-02-12,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6838019986851505,2379.88356374344,2.00000000000001,20.1344918013797
29929,Germany,2020-02-13,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99743969226317,2600.58804462179,0.0,24.7092223980183
29930,Germany,2020-02-14,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2348146492572,2853.4375686748303,0.0,30.2549920692925
29931,Germany,2020-02-15,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.387454290798019,3140.3262733945003,0.0,36.979387273733295
29932,Germany,2020-02-16,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4459509969830195,3460.35708163552,0.0,45.145528726156705
29933,Germany,2020-02-17,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3998332227379704,3811.8350039240004,0.0,55.089653479113906
29934,Germany,2020-02-18,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30718302935184,4194.805911073599,0.0,67.2437098211901
29935,Germany,2020-02-19,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653523658042522,4612.3437405268,0.0,82.16473877992371
29936,Germany,2020-02-20,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18592823167208605,5069.45037026877,0.0,100.572533596052
29937,Germany,2020-02-21,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7931040420009821,5570.07875455792,0.0,123.39738186102
29938,Germany,2020-02-22,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70524840227481,6114.10849793156,0.0,151.839355821358
29939,Germany,2020-02-23,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.53434260761823,6696.13480545261,0.0,187.44126868030898
29940,Germany,2020-02-24,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2436930820501297,7306.73463070285,0.0,232.174543240089
