,location_name,date,location_id,allbed_mean,ICUbed_mean,InvVen_mean,admis_mean,newICU_mean,bedover_mean,icuover_mean,deaths_mean,totdea_mean,mobility_composite,total_tests,confirmed_infections,est_infections_mean
84320,United States of America,2020-02-04,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,7.9145203319025805,1.00000000000001,64.4928528522494
84321,United States of America,2020-02-05,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,8.75894662219822,1.0,73.8775576076866
84322,United States of America,2020-02-06,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,9.47451593011616,2.9999999999999907,84.69792574961109
84323,United States of America,2020-02-07,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,10.2267102456623,0.0,97.0892056045587
84324,United States of America,2020-02-08,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-2.9065295525692703,11.0388422019468,1.00000000000001,111.200375308371
84325,United States of America,2020-02-09,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-2.5474989041163902,11.9296147779209,0.0,127.33899683750099
84326,United States of America,2020-02-10,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.96773036225922,12.917363919340199,3.0,187.358320376091
84327,United States of America,2020-02-11,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.26596506954662,14.0273607350145,2.00000000000001,247.109942318723
84328,United States of America,2020-02-12,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.536689050362837,15.297734132469099,0.999999999999996,316.932712641445
84329,United States of America,2020-02-13,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.13225936581656,16.7889991797652,2.0,394.150876139665
84330,United States of America,2020-02-14,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.67297262860515,18.555965213212897,2.0,482.194450014188
84331,United States of America,2020-02-15,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.04947428437535,20.6846713292185,6.99999999999999,547.902035676962
84332,United States of America,2020-02-16,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.26729116510601,23.2699729395783,7.00000000000001,624.969068705617
84333,United States of America,2020-02-17,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.36802091197036,26.405780325882102,14.0,720.457639148649
84334,United States of America,2020-02-18,102,2.4974820568320597,1.0,1.0,2.4974820568320597,1.0,0.0,0.0,0.0,7.0,1.42014502212797,30.1664058042769,9.999999999999991,837.182146988781
84335,United States of America,2020-02-19,102,4.95779595404595,2.0,2.0,2.4603138972139,1.0,0.0,0.0,0.0,7.0,1.48653453908432,34.6433209538211,9.99999999999997,988.3778237379939
84336,United States of America,2020-02-20,102,7.44873500111,3.0,3.0,2.49093904706405,1.0,0.0,0.0,0.0,7.0,1.5795280693302802,40.058077562642495,13.0,1160.62333911605
84337,United States of America,2020-02-21,102,9.98103523976024,4.03572701187701,4.00493328060828,2.5323002386502402,1.03572701187701,0.0,0.0,0.0,7.0,1.6850123148997,46.874943010341504,16.0,1370.26541090766
84338,United States of America,2020-02-22,102,12.402608807858801,5.069498606948611,5.0096737068487105,2.42157356809857,1.0337715950716,0.0,0.0,0.0,7.0,1.78881655671075,55.8304809320086,19.0,1626.5769343487
84339,United States of America,2020-02-23,102,14.9411232739483,6.10080725108225,6.01632407592408,2.5385144660894703,1.03130864413364,0.0,0.0,0.0,7.0,1.8830552986224398,67.8631066683691,16.0,1937.8483190064103
84340,United States of America,2020-02-24,102,16.3560494255744,6.1359845543345495,6.01987472249972,2.41492615162615,1.0351773032523,0.0,0.0,1.0,8.0,1.97138137973625,83.988570765348,18.000000000000103,2308.72259057904
84341,United States of America,2020-02-25,102,16.4122615162615,6.17201571761572,6.025658100233099,2.5179671356421403,1.03603116328116,0.0,0.0,0.0,8.0,2.06417797125308,105.244822673308,31.9999999999999,2775.7390341505898
84342,United States of America,2020-02-26,102,19.024976318126303,7.21031035908536,7.030991430791429,5.0392571040071,2.0382946414696397,0.0,0.0,2.0,10.0,2.17140080731942,132.74758811658302,29.0,3361.09701102675
84343,United States of America,2020-02-27,102,21.649315359640397,8.24158025585526,8.03435067710068,5.083969444444441,2.0312698967699,0.0,0.0,0.0,10.0,2.28747650162054,167.602023070422,28.0000000000001,4097.5228612523
84344,United States of America,2020-02-28,102,24.1140611277611,9.27649617327117,9.037514985014981,4.9618687035187,2.03491591741592,0.0,0.0,2.0,12.0,2.3920293440909197,210.643136038392,39.9999999999999,5035.2280217156
84345,United States of America,2020-02-29,102,26.8511972582973,10.3527174769675,10.045540972916,5.12367853535354,2.0762213036963,0.0,0.0,1.0,13.0,2.46049271344851,269.70762768635103,25.9999999999999,6222.01540576571
